product_id,order_id,quantity
523,9,16
328,37,31
833,663,38
125,482,30
359,469,40
57,672,25
335,40,46
385,332,47
588,332,44
653,619,12
896,364,28
611,12,43
418,272,16
50,867,30
81,660,16
71,614,17
425,100,22
933,715,30
417,96,28
371,537,31
544,774,17
855,75,41
777,847,10
769,345,16
752,722,22
1000,724,39
241,324,31
531,424,31
813,618,21
973,375,11
820,812,39
636,326,25
39,788,17
518,672,13
152,638,23
129,52,31
179,455,14
600,689,33
643,771,34
87,738,44
869,4,17
685,838,37
937,922,43
847,652,12
757,914,41
68,868,13
142,779,16
953,514,20
245,818,45
52,873,34
887,707,25
706,522,15
846,466,17
919,254,41
924,67,36
923,98,44
490,742,12
402,448,47
637,279,20
580,348,24
320,885,42
452,280,42
277,124,15
669,936,18
81,989,46
428,813,24
711,805,47
977,713,23
504,325,47
846,848,14
307,311,43
851,380,21
944,599,37
478,158,49
26,730,39
763,174,29
334,554,48
457,260,31
606,38,20
630,477,43
735,772,30
678,734,44
20,295,35
620,821,38
618,77,24
832,774,35
392,437,28
310,456,37
621,576,15
854,2,32
807,660,16
664,14,33
610,863,16
955,823,27
911,237,13
124,891,11
173,359,22
109,407,13
369,696,19
354,553,43
903,232,37
665,821,45
547,299,15
590,545,21
515,423,25
531,964,33
475,387,48
929,569,34
922,234,36
150,150,45
848,462,46
187,448,13
487,554,17
73,429,30
420,876,17
675,107,19
870,11,49
156,178,29
141,793,21
196,258,40
102,115,37
806,315,36
768,538,45
336,322,41
691,195,37
8,822,37
637,121,33
877,808,39
283,513,36
644,43,45
581,30,17
202,475,45
871,722,12
926,532,16
880,317,14
416,183,20
984,974,19
379,722,13
647,525,49
615,263,27
799,419,44
578,144,38
918,87,50
682,440,30
423,265,36
883,813,26
928,647,20
635,498,33
958,662,25
843,195,40
151,76,38
695,634,16
386,941,47
650,62,18
568,295,32
426,497,22
981,689,14
600,850,22
79,539,39
874,487,31
790,291,35
846,948,49
322,374,23
743,866,21
866,32,50
88,260,11
240,448,29
832,722,49
599,229,38
845,116,23
170,865,35
521,811,13
370,105,45
95,377,14
42,206,46
412,88,29
882,458,19
731,387,41
776,837,28
369,708,48
788,756,31
336,834,15
520,856,37
644,619,10
884,769,28
151,749,40
541,496,13
871,115,19
271,439,45
409,213,13
113,335,37
367,952,32
880,573,35
109,646,17
106,759,28
373,663,10
97,840,43
143,358,11
145,923,14
747,122,29
24,217,17
314,272,49
993,163,13
40,759,46
712,219,48
22,560,48
209,920,28
944,644,18
594,647,25
450,558,13
759,60,25
375,824,37
388,355,38
629,674,24
96,261,48
872,485,12
567,69,30
364,468,37
100,482,29
22,857,25
526,437,19
931,482,28
657,743,47
808,337,48
588,646,47
643,489,26
21,982,44
810,997,24
445,839,46
568,996,32
307,83,22
727,233,18
8,816,30
819,927,37
505,472,43
308,804,17
976,964,33
850,737,31
712,987,27
532,492,30
658,704,30
888,561,19
686,146,21
46,827,47
92,611,24
521,688,22
98,265,39
879,842,32
544,47,31
779,399,31
536,282,15
43,435,13
748,645,50
981,509,13
728,877,10
466,275,11
955,29,38
30,499,44
177,756,39
802,87,45
644,140,29
585,632,45
809,926,26
489,268,24
824,854,18
224,625,20
328,987,25
577,278,29
269,418,19
375,586,31
594,95,24
531,601,27
107,947,11
299,388,46
925,453,16
531,804,15
862,51,44
669,121,46
332,336,30
920,83,47
710,345,23
285,789,26
883,404,45
142,726,32
559,506,46
972,32,44
227,304,11
411,338,39
819,573,25
343,990,11
976,649,27
488,665,46
923,625,38
361,433,14
344,669,15
686,72,31
644,806,26
202,231,19
263,119,25
551,619,35
476,548,26
641,225,30
984,457,20
429,424,27
891,779,48
200,349,30
182,634,50
698,301,16
419,39,49
393,262,11
778,687,23
463,713,21
62,70,19
48,2,48
859,536,24
182,226,50
452,463,47
70,670,26
650,116,24
334,124,30
541,330,39
990,32,44
519,467,15
1,404,39
472,799,10
460,735,17
508,62,41
915,289,40
328,99,40
329,810,27
822,447,39
112,542,24
24,653,14
116,534,10
815,841,38
559,123,20
455,492,18
277,969,46
255,668,10
423,990,35
664,206,32
362,349,31
137,407,28
651,291,39
479,689,45
409,549,48
754,99,40
298,498,20
445,49,18
425,427,42
446,795,44
877,233,22
74,185,49
282,693,18
928,527,26
786,724,10
998,915,32
653,179,50
998,688,29
649,395,49
2,293,13
1000,822,22
825,563,10
142,221,26
482,30,24
223,538,50
713,686,21
378,374,21
480,198,42
418,824,33
625,148,48
726,246,19
815,784,18
332,814,31
918,825,15
308,776,28
720,389,12
683,640,28
201,416,50
329,515,43
290,370,42
584,253,33
593,865,17
422,388,38
323,458,33
883,685,37
331,213,37
604,391,40
820,262,40
701,946,43
64,926,30
860,672,38
734,540,46
76,134,39
216,162,24
833,845,18
775,326,26
411,479,19
441,423,30
156,781,42
191,559,27
467,832,16
427,654,23
783,974,30
697,979,29
988,79,21
939,239,34
75,998,19
825,369,22
811,524,26
552,907,34
731,983,22
252,586,15
102,769,10
844,710,25
519,107,42
734,205,37
775,348,42
194,745,32
13,38,28
35,753,32
642,39,21
841,796,10
764,135,38
791,839,27
63,951,46
430,727,43
652,614,38
990,722,17
100,280,26
30,525,47
64,281,28
540,601,47
765,146,31
594,670,29
380,872,35
311,784,21
180,702,21
897,237,32
692,722,45
314,688,30
826,58,48
348,762,39
313,262,12
555,260,23
556,655,11
811,284,15
809,411,48
443,966,27
932,127,39
295,900,11
830,726,46
87,224,50
227,858,38
81,397,22
698,281,20
737,529,25
3,151,28
698,678,18
131,882,49
285,153,46
131,29,11
401,326,28
391,363,29
970,782,35
375,183,29
774,549,36
413,813,28
330,87,37
422,41,42
278,810,40
972,594,14
151,866,24
863,484,11
546,891,29
426,710,12
306,868,34
87,410,42
300,566,31
646,636,30
532,783,33
523,577,41
388,447,17
249,892,19
576,9,19
971,198,17
937,75,26
258,969,38
484,69,47
359,298,17
263,933,17
1,188,47
830,941,11
671,429,30
292,131,45
147,453,42
466,816,48
375,170,29
186,893,10
394,624,29
359,507,28
401,901,27
966,545,39
321,608,27
34,944,40
41,125,29
887,222,24
911,334,12
593,504,16
57,711,14
329,118,45
313,418,29
111,290,16
978,986,28
156,894,12
400,341,36
377,547,37
556,352,39
827,618,26
748,959,45
807,445,23
146,645,23
937,87,22
140,645,15
911,2,12
956,423,13
858,186,19
999,398,14
582,766,32
27,154,47
897,879,41
775,360,10
138,850,43
651,19,46
121,272,23
930,340,16
725,604,34
958,580,26
239,39,45
749,874,18
984,463,15
455,514,39
890,594,36
574,213,29
162,68,34
670,902,18
552,819,49
713,868,40
966,413,26
301,513,20
881,101,37
912,850,43
403,900,35
739,475,15
7,677,30
156,896,30
170,580,30
562,862,13
223,209,34
95,278,36
482,477,39
634,879,22
401,662,46
43,94,30
508,746,13
235,853,43
269,500,11
168,910,15
502,365,33
499,143,45
481,54,50
281,886,24
494,646,22
529,959,14
481,908,17
102,661,46
843,705,19
610,634,48
713,506,15
718,400,47
575,74,20
804,484,18
361,61,48
412,735,15
845,403,37
758,580,46
756,267,22
587,501,36
702,208,39
992,403,17
442,657,11
653,287,27
174,40,36
175,470,37
199,233,35
2,166,12
457,89,15
897,631,19
945,443,41
465,518,32
345,96,30
556,417,17
924,638,30
360,247,45
129,533,49
665,84,24
223,441,19
698,266,50
52,806,47
448,767,36
818,319,38
151,201,20
480,370,12
977,138,36
483,581,12
214,920,48
507,754,28
206,361,47
142,119,39
68,501,16
325,467,13
548,708,16
858,481,45
525,586,14
242,957,24
407,349,45
479,236,21
895,231,34
694,215,36
477,195,28
4,485,18
659,380,11
444,92,15
18,917,34
667,413,47
944,964,50
918,708,24
420,170,17
770,579,42
818,985,41
995,887,30
271,66,49
263,990,26
830,319,11
380,429,17
888,780,20
39,192,42
971,807,32
822,613,49
232,800,39
38,462,50
159,840,15
725,103,22
735,169,33
503,767,15
511,997,43
470,561,36
522,255,42
716,78,41
545,277,46
683,792,35
100,440,32
675,234,40
433,812,36
228,351,46
972,461,21
164,425,47
774,709,31
41,780,24
107,333,15
241,2,30
839,621,11
46,702,42
226,403,25
239,137,30
258,3,50
883,578,36
587,641,27
964,939,27
560,626,19
925,938,17
150,659,33
89,216,34
348,166,40
321,931,10
498,871,43
950,443,34
53,325,43
452,337,32
636,369,15
25,946,31
975,225,18
417,48,27
60,254,15
39,378,46
81,137,31
624,937,17
398,97,13
810,550,30
157,516,14
413,586,46
136,576,11
561,18,17
819,965,32
260,619,34
10,520,31
17,219,43
695,282,40
340,170,32
4,707,35
375,233,48
318,170,30
722,999,23
851,760,26
855,894,44
127,340,18
930,413,34
818,288,25
759,146,19
691,911,25
64,348,10
380,441,29
933,96,45
903,638,29
534,862,11
377,243,44
714,609,14
745,99,17
914,163,15
940,395,24
22,364,23
227,924,33
944,382,33
647,167,26
251,187,36
931,362,32
254,719,14
557,555,28
799,842,35
997,311,35
765,203,10
711,713,34
6,507,42
385,561,13
49,286,45
169,687,29
555,347,13
474,926,40
1,829,40
997,879,27
864,704,26
447,839,23
536,963,25
719,66,19
134,597,38
183,519,42
590,737,38
271,916,48
745,857,29
200,65,20
816,908,35
376,988,30
938,421,37
313,105,23
235,965,25
126,828,39
771,750,14
340,580,23
948,884,34
618,97,34
296,457,44
359,481,20
818,369,32
270,665,20
768,792,47
732,293,16
263,99,50
647,811,43
971,768,45
